set;number;name;cost;rarity
AFR;183;Find the Path;[2][G];C
AFR;A-183;A-Find the Path;[2][G];C
AFR;184;Froghemoth;[3][G][G];R
AFR;185;Gnoll Hunter;[1][G];C
AFR;186;Green Dragon;[4][G][G];U
AFR;187;Hill Giant Herdgorger;[4][G][G];C
AFR;188;Hunter's Mark;[3][G];U
AFR;189;Inspiring Bard;[3][G];C
AFR;190;Instrument of the Bards;[G];R
AFR;191;Intrepid Outlander;[1][G];U
AFR;192;Loathsome Troll;[3][G][G];U
AFR;193;Long Rest;[X][G][G][G];R
AFR;194;Lurking Roper;[2][G];U
AFR;195;Neverwinter Dryad;[G];C
AFR;196;Ochre Jelly;[X][G];R
AFR;197;Old Gnawbone;[5][G][G];M
AFR;198;Owlbear;[3][G][G];C
AFR;199;Plummet;[1][G];C
AFR;200;Prosperous Innkeeper;[1][G];U
AFR;201;Purple Worm;[5][G][G];U
AFR;202;Ranger Class;[1][G];R
AFR;203;Ranger's Longbow;[1][G];C
AFR;204;Scaled Herbalist;[1][G];C
AFR;205;Spoils of the Hunt;[2][G];C
AFR;206;Sylvan Shepherd;[2][G];C
AFR;207;The Tarrasque;[6][G][G][G];M
AFR;208;Underdark Basilisk;[1][G];C
AFR;209;Varis, Silverymoon Ranger;[1][G][G];R
AFR;210;Wandering Troubadour;[3][G];U
AFR;211;Werewolf Pack Leader;[G][G];R
AFR;212;Wild Shape;[G];U
AFR;213;You Find a Cursed Idol;[1][G];C
AFR;214;You Happen On a Glade;[2][G];U
AFR;215;You Meet in a Tavern;[2][G][G];U
AFR;216;Adult Gold Dragon;[3][R][W];R
AFR;217;Bard Class;[R][G];R
AFR;218;Barrowin of Clan Undurr;[2][W][B];U
AFR;219;Bruenor Battlehammer;[2][R][W];U
AFR;220;Drizzt Do'Urden;[3][G][W];R
AFR;221;Farideh, Devil's Chosen;[2][U][R];U
AFR;222;Fighter Class;[R][W];R
AFR;223;Gretchen Titchwillow;[G][U];U
AFR;224;Hama Pashar, Ruin Seeker;[1][W][U];U
AFR;225;Kalain, Reclusive Painter;[B][R];U
AFR;226;Krydle of Baldur's Gate;[U][B];U
AFR;227;Minsc, Beloved Ranger;[R][G][W];M
AFR;228;Monk Class;[W][U];R
AFR;229;Orcus, Prince of Undeath;[X][2][B][R];R
AFR;230;Rogue Class;[U][B];R
AFR;231;Shessra, Death's Whisper;[2][B][G];U
AFR;232;Skeletal Swarming;[3][B][G];R
AFR;233;Sorcerer Class;[U][R];R
AFR;234;Targ Nar, Demon-Fang Gnoll;[R][G];U
AFR;235;Tiamat;[2][W][U][B][R][G];M
AFR;236;Trelasarra, Moon Dancer;[G][W];U
AFR;237;Triumphant Adventurer;[W][B];R
AFR;A-237;A-Triumphant Adventurer;[W][B];R
AFR;238;Volo, Guide to Monsters;[2][G][U];R
AFR;239;Xanathar, Guild Kingpin;[4][U][B];M
AFR;240;Bag of Holding;[1];U
AFR;241;The Deck of Many Things;[5];M
AFR;242;Dungeon Map;[3];U
AFR;243;Eye of Vecna;[2];R
AFR;244;Fifty Feet of Rope;[1];U
AFR;245;Greataxe;[1];C
AFR;246;Hand of Vecna;[3];R
AFR;247;Iron Golem;[4];U
AFR;248;Leather Armor;[1];C
AFR;249;Mimic;[2];C
AFR;250;Spare Dagger;[1];C
AFR;251;Spiked Pit Trap;[1];C
AFR;252;Treasure Chest;[3];R
AFR;253;Cave of the Frost Dragon;;R
AFR;254;Den of the Bugbear;;R
AFR;255;Dungeon Descent;;R
AFR;A-255;A-Dungeon Descent;;R
AFR;256;Evolving Wilds;;C
AFR;257;Hall of Storm Giants;;R
AFR;258;Hive of the Eye Tyrant;;R
AFR;259;Lair of the Hydra;;R
AFR;260;Temple of the Dragon Queen;;U
AFR;261;Treasure Vault;;R
AFR;262;Plains;;C
AFR;263;Plains;;C
AFR;264;Plains;;C
AFR;265;Plains;;C
AFR;266;Island;;C
AFR;267;Island;;C
AFR;268;Island;;C
AFR;269;Island;;C
AFR;270;Swamp;;C
AFR;271;Swamp;;C
AFR;272;Swamp;;C
AFR;273;Swamp;;C
AFR;274;Mountain;;C
AFR;275;Mountain;;C
AFR;276;Mountain;;C
AFR;277;Mountain;;C
AFR;278;Forest;;C
AFR;279;Forest;;C
AFR;280;Forest;;C
AFR;281;Forest;;C
AFR;282;Grand Master of Flowers;[2][W][W];M
AFR;283;Mordenkainen;[4][U][U];M
AFR;284;Lolth, Spider Queen;[3][B][B];M
AFR;285;Zariel, Archduke of Avernus;[2][R][R];M
AFR;286;Ellywick Tumblestrum;[2][G][G];M
AFR;287;Icingdeath, Frost Tyrant;[2][W][W];M
AFR;288;White Dragon;[4][W][W];U
AFR;289;Blue Dragon;[5][U][U];U
AFR;290;Iymrith, Desert Doom;[3][U][U];M
AFR;291;Black Dragon;[5][B][B];U
AFR;292;Ebondeath, Dracolich;[2][B][B];M
AFR;293;Inferno of the Star Mounts;[4][R][R];M
AFR;294;Red Dragon;[4][R][R];U
AFR;295;Green Dragon;[4][G][G];U
AFR;296;Old Gnawbone;[5][G][G];M
AFR;297;Adult Gold Dragon;[3][R][W];R
AFR;298;Tiamat;[2][W][U][B][R][G];M
AFR;299;Arborea Pegasus;[3][W];C
AFR;300;Blink Dog;[2][W];U
AFR;301;Celestial Unicorn;[2][W];C
AFR;302;Cloister Gargoyle;[2][W];U
AFR;303;Nadaar, Selfless Paladin;[2][W];R
AFR;304;Oswald Fiddlebender;[1][W];R
AFR;305;Displacer Beast;[2][U];U
AFR;306;Djinni Windseer;[3][U];C
AFR;307;Dragon Turtle;[1][U][U];R
AFR;308;Mind Flayer;[3][U][U];R
AFR;309;Pixie Guide;[1][U];C
AFR;310;Rimeshield Frost Giant;[3][U][U];C
AFR;311;Baleful Beholder;[4][B][B];C
AFR;312;Clattering Skeletons;[3][B];C
AFR;313;Gelatinous Cube;[2][B][B];R
AFR;314;Manticore;[3][B];C
AFR;315;Westgate Regent;[3][B][B];R
AFR;316;Wight;[1][B];R
AFR;317;Delina, Wild Mage;[3][R];R
AFR;318;Goblin Javelineer;[R];C
AFR;319;Hulking Bugbear;[1][R][R];U
AFR;320;Minion of the Mighty;[R];R
AFR;321;Rust Monster;[2][R];U
AFR;322;Xorn;[2][R];R
AFR;323;Zalto, Fire Giant Duke;[3][R][R];R
AFR;324;Bulette;[3][G];C
AFR;325;Dire Wolf Prowler;[2][G];C
AFR;326;Gnoll Hunter;[1][G];C
AFR;327;Loathsome Troll;[3][G][G];U
AFR;328;Lurking Roper;[2][G];U
AFR;329;Neverwinter Dryad;[G];C
AFR;330;Ochre Jelly;[X][G];R
AFR;331;Owlbear;[3][G][G];C
AFR;332;Purple Worm;[5][G][G];U
AFR;333;The Tarrasque;[6][G][G][G];M
AFR;334;Underdark Basilisk;[1][G];C
AFR;335;Varis, Silverymoon Ranger;[1][G][G];R
AFR;336;Barrowin of Clan Undurr;[2][W][B];U
AFR;337;Bruenor Battlehammer;[2][R][W];U
AFR;338;Drizzt Do'Urden;[3][G][W];R
AFR;339;Farideh, Devil's Chosen;[2][U][R];U
AFR;340;Gretchen Titchwillow;[G][U];U
AFR;341;Hama Pashar, Ruin Seeker;[1][W][U];U
AFR;342;Kalain, Reclusive Painter;[B][R];U
AFR;343;Krydle of Baldur's Gate;[U][B];U
AFR;344;Minsc, Beloved Ranger;[R][G][W];M
AFR;345;Shessra, Death's Whisper;[2][B][G];U
AFR;346;Trelasarra, Moon Dancer;[G][W];U
AFR;347;Volo, Guide to Monsters;[2][G][U];R
AFR;348;Iron Golem;[4];U
AFR;349;Mimic;[2];C
AFR;350;Cave of the Frost Dragon;;R
AFR;351;Den of the Bugbear;;R
AFR;352;Dungeon Descent;;R
AFR;353;Evolving Wilds;;C
AFR;354;Hall of Storm Giants;;R
AFR;355;Hive of the Eye Tyrant;;R
AFR;356;Lair of the Hydra;;R
AFR;357;Temple of the Dragon Queen;;U
AFR;358;Treasure Vault;;R
AFR;359;The Book of Exalted Deeds;[W][W][W];M
AFR;360;Dancing Sword;[1][W];R
AFR;361;Flumph;[1][W];R
AFR;362;Guardian of Faith;[1][W][W];R
AFR;363;Loyal Warhound;[1][W];R
AFR;364;Teleportation Circle;[3][W];R
AFR;365;The Blackstaff of Waterdeep;[U];R
AFR;366;Demilich;[U][U][U][U];M
AFR;367;Grazilaxx, Illithid Scholar;[1][U][U];R
AFR;368;Tasha's Hideous Laughter;[1][U][U];R
AFR;369;True Polymorph;[4][U][U];R
AFR;370;Wizard's Spellbook;[5][U][U];R
AFR;371;Yuan-Ti Malison;[1][U];R
AFR;372;Acererak the Archlich;[2][B];M
AFR;373;Asmodeus the Archfiend;[4][B][B];R
AFR;374;The Book of Vile Darkness;[B][B][B];M
AFR;375;Forsworn Paladin;[B];R
AFR;376;Sphere of Annihilation;[X][B];R
AFR;377;Vorpal Sword;[B];R
AFR;378;Flameskull;[1][R][R];M
AFR;379;Hobgoblin Bandit Lord;[1][R][R];R
AFR;380;Meteor Swarm;[X][R][R][R];R
AFR;381;Orb of Dragonkind;[1][R];R
AFR;382;Wish;[2][R];R
AFR;383;Circle of Dreams Druid;[G][G][G];R
AFR;384;Froghemoth;[3][G][G];R
AFR;385;Instrument of the Bards;[G];R
AFR;386;Long Rest;[X][G][G][G];R
AFR;387;Werewolf Pack Leader;[G][G];R
AFR;388;Orcus, Prince of Undeath;[X][2][B][R];R
AFR;389;Skeletal Swarming;[3][B][G];R
AFR;390;Triumphant Adventurer;[W][B];R
AFR;391;Xanathar, Guild Kingpin;[4][U][B];M
AFR;392;The Deck of Many Things;[5];M
AFR;393;Eye of Vecna;[2];R
AFR;394;Hand of Vecna;[3];R
AFR;395;Treasure Chest;[3];R
AFR;396;Vorpal Sword;[B];R
AFR;397;Treasure Chest;[3];R
AFR;398;Portable Hole;[W];U
AFR;399;You Find the Villains' Lair;[1][U][U];C
AFR;400;Power Word Kill;[1][B];U
AFR;401;Magic Missile;[1][R][R];U
AFR;402;Prosperous Innkeeper;[1][G];U
